------------------------------------------------------------------------------------------
--- Kernel logs (dmesg) ---
<3>[14050.501376] DL data not available
<3>[14050.521404] DL data not available
<3>[14050.541390] DL data not available
<3>[14050.561236] DL data not available
<3>[14050.581389] DL data not available
<3>[14050.601388] DL data not available
<3>[14050.621340] DL data not available
<3>[14050.641431] DL data not available
<3>[14050.661280] DL data not available
<3>[14050.681400] DL data not available
<3>[14050.701351] DL data not available
<3>[14050.721408] DL data not available
<3>[14050.741297] DL data not available
<3>[14050.761229] DL data not available
<3>[14050.781390] DL data not available
<3>[14050.801352] DL data not available
<3>[14050.821471] DL data not available
<3>[14050.841345] DL data not available
<3>[14050.861401] DL data not available
<3>[14050.881352] DL data not available
<3>[14050.901260] DL data not available
<3>[14050.921391] DL data not available
<3>[14050.941362] DL data not available
<3>[14050.961306] DL data not available
<3>[14050.981291] DL data not available
<3>[14051.001336] DL data not available
<3>[14051.021287] DL data not available
<3>[14051.041366] DL data not available
<3>[14051.061367] DL data not available
<3>[14051.081291] DL data not available
<3>[14051.101342] DL data not available
<3>[14051.121271] DL data not available
<3>[14051.141346] DL data not available
<3>[14051.161337] DL data not available
<3>[14051.181346] DL data not available
<3>[14051.201312] DL data not available
<3>[14051.221225] DL data not available
<3>[14051.241361] DL data not available
<3>[14051.261340] DL data not available
<3>[14051.281415] DL data not available
<3>[14051.301337] DL data not available
<3>[14051.321397] DL data not available
<3>[14051.341377] DL data not available
<3>[14051.361395] DL data not available
<3>[14051.381377] DL data not available
<3>[14051.401356] DL data not available
<3>[14051.421459] DL data not available
<3>[14051.441386] DL data not available
<3>[14051.461381] DL data not available
<3>[14051.481346] DL data not available
<3>[14051.501369] DL data not available
<3>[14051.521345] DL data not available
<3>[14051.541363] DL data not available
<3>[14051.561301] DL data not available
<3>[14051.581281] DL data not available
<3>[14051.601347] DL data not available
<3>[14051.621350] DL data not available
<3>[14051.641353] DL data not available
<3>[14051.661227] DL data not available
<3>[14051.681235] DL data not available
<3>[14051.701228] DL data not available
<3>[14051.721231] DL data not available
<3>[14051.741247] DL data not available
<3>[14051.761231] DL data not available
<3>[14051.781327] DL data not available
<3>[14051.801336] DL data not available
<3>[14051.821333] DL data not available
<3>[14051.841349] DL data not available
<3>[14051.861341] DL data not available
<3>[14051.881385] DL data not available
<3>[14051.901352] DL data not available
<3>[14051.921339] DL data not available
<3>[14051.941349] DL data not available
<3>[14051.961367] DL data not available
<3>[14051.981399] DL data not available
<3>[14052.001390] DL data not available
<3>[14052.021338] DL data not available
<3>[14052.041267] DL data not available
<3>[14052.061461] DL data not available
<3>[14052.081265] DL data not available
<3>[14052.101343] DL data not available
<3>[14052.121345] DL data not available
<3>[14052.141346] DL data not available
<3>[14052.161341] DL data not available
<3>[14052.181340] DL data not available
<3>[14052.201417] DL data not available
<3>[14052.221409] DL data not available
<3>[14052.241430] DL data not available
<3>[14052.261493] DL data not available
<3>[14052.281372] DL data not available
<3>[14052.301326] DL data not available
<3>[14052.321334] DL data not available
<3>[14052.341258] DL data not available
<3>[14052.361370] DL data not available
<3>[14052.381482] DL data not available
<3>[14052.401336] DL data not available
<3>[14052.421412] DL data not available
<3>[14052.441345] DL data not available
<3>[14052.461376] DL data not available
<3>[14052.481337] DL data not available
<3>[14052.501454] DL data not available
<3>[14052.521309] DL data not available
<3>[14052.541357] DL data not available
<3>[14052.561343] DL data not available
<3>[14052.581366] DL data not available
<3>[14052.601346] DL data not available
<3>[14052.621354] DL data not available
<3>[14052.641348] DL data not available
<3>[14052.661536] DL data not available
<3>[14052.681319] DL data not available
<3>[14052.839113] DL data not available
<3>[14052.859105] DL data not available
<3>[14052.879099] DL data not available
<3>[14052.899114] DL data not available
<3>[14052.919118] DL data not available
<3>[14052.939126] DL data not available
<3>[14052.959104] DL data not available
<3>[14052.979110] DL data not available
<3>[14052.999106] DL data not available
<3>[14053.019110] DL data not available
<3>[14053.039116] DL data not available
<3>[14053.059117] DL data not available
<3>[14053.079110] DL data not available
<3>[14053.099103] DL data not available
<3>[14053.119100] DL data not available
