##DateTime MemTotal: MemFree: Cached: 
02-05-2018_10-32-41 2803616 37956 344004 
02-05-2018_10-32-41 2803616 37564 344008 
02-05-2018_10-32-42 2803616 37060 343920 
02-05-2018_10-32-43 2803616 36688 344012 
02-05-2018_10-32-43 2803616 36000 344128 
02-05-2018_10-32-44 2803616 35812 344132 
02-05-2018_10-32-44 2803616 35432 344132 
02-05-2018_10-32-45 2803616 35440 344136 
02-05-2018_10-32-46 2803616 35636 344140 
02-05-2018_10-32-46 2803616 36948 342444 
02-05-2018_10-32-47 2803616 37000 342448 
02-05-2018_10-32-48 2803616 36308 342452 
02-05-2018_10-32-48 2803616 38216 339644 
02-05-2018_10-32-49 2803616 38348 339644 
02-05-2018_10-32-49 2803616 47280 339648 
02-05-2018_10-32-50 2803616 46984 339668 
02-05-2018_10-32-51 2803616 47172 339668 
02-05-2018_10-32-51 2803616 46860 339704 
02-05-2018_10-32-52 2803616 46428 339720 
02-05-2018_10-32-53 2803616 46212 339708 
02-05-2018_10-32-53 2803616 45500 339712 
02-05-2018_10-32-54 2803616 45224 339716 
02-05-2018_10-32-54 2803616 45192 340036 
02-05-2018_10-32-55 2803616 42076 342640 
02-05-2018_10-32-56 2803616 42208 342664 
02-05-2018_10-32-56 2803616 41960 342668 
02-05-2018_10-32-57 2803616 41092 342676 
02-05-2018_10-32-58 2803616 39976 342696 
02-05-2018_10-32-58 2803616 40608 342700 
02-05-2018_10-32-59 2803616 39668 343984 
02-05-2018_10-32-59 2803616 39240 344076 
02-05-2018_10-33-00 2803616 36156 347016 
02-05-2018_10-33-01 2803616 35856 347020 
02-05-2018_10-33-01 2803616 35716 347024 
02-05-2018_10-33-02 2803616 37628 344908 
02-05-2018_10-33-03 2803616 37380 344912 
02-05-2018_10-33-03 2803616 36760 344912 
02-05-2018_10-33-04 2803616 36336 345456 
02-05-2018_10-33-04 2803616 35768 345460 
02-05-2018_10-33-05 2803616 35676 345464 
02-05-2018_10-33-06 2803616 46196 314548 
02-05-2018_10-33-06 2803616 33740 307744 
02-05-2018_10-33-07 2803616 39428 291788 
02-05-2018_10-33-08 2803616 37760 293108 
02-05-2018_10-33-08 2803616 36644 293108 
02-05-2018_10-33-09 2803616 36800 293108 
02-05-2018_10-33-09 2803616 36796 293108 
02-05-2018_10-33-10 2803616 36300 293108 
02-05-2018_10-33-11 2803616 42568 294640 
02-05-2018_10-33-11 2803616 43012 294700 
02-05-2018_10-33-12 2803616 43236 294704 
02-05-2018_10-33-13 2803616 43848 294704 
02-05-2018_10-33-13 2803616 44688 294704 
02-05-2018_10-33-14 2803616 44908 294704 
02-05-2018_10-33-15 2803616 45532 294704 
02-05-2018_10-33-15 2803616 45204 294704 
02-05-2018_10-33-16 2803616 45184 294704 
02-05-2018_10-33-16 2803616 45320 294736 
02-05-2018_10-33-17 2803616 44884 294736 
02-05-2018_10-33-18 2803616 44452 294740 
02-05-2018_10-33-18 2803616 44576 294740 
02-05-2018_10-33-19 2803616 44452 294740 
02-05-2018_10-33-20 2803616 44224 294740 
02-05-2018_10-33-20 2803616 43964 294740 
02-05-2018_10-33-21 2803616 43908 294740 
02-05-2018_10-33-22 2803616 43456 294740 
02-05-2018_10-33-22 2803616 51812 294964 
02-05-2018_10-33-23 2803616 51504 294968 
02-05-2018_10-33-24 2803616 51416 294968 
02-05-2018_10-33-24 2803616 50980 295700 
02-05-2018_10-33-25 2803616 50880 295700 
02-05-2018_10-33-25 2803616 50316 295700 
02-05-2018_10-33-26 2803616 50072 295700 
02-05-2018_10-33-27 2803616 49952 295700 
02-05-2018_10-33-27 2803616 49024 295920 
02-05-2018_10-33-28 2803616 49024 295920 
02-05-2018_10-33-29 2803616 48000 296832 
02-05-2018_10-33-29 2803616 47380 296832 
02-05-2018_10-33-30 2803616 47396 296832 
02-05-2018_10-33-31 2803616 47416 296832 
02-05-2018_10-33-31 2803616 47024 296832 
02-05-2018_10-33-32 2803616 47148 296836 
02-05-2018_10-33-33 2803616 48016 296848 
02-05-2018_10-33-33 2803616 48212 296852 
02-05-2018_10-33-34 2803616 48408 296852 
02-05-2018_10-33-34 2803616 47768 296852 
02-05-2018_10-33-35 2803616 47396 296852 
02-05-2018_10-33-36 2803616 47056 296880 
02-05-2018_10-33-36 2803616 47304 296884 
02-05-2018_10-33-37 2803616 46188 296884 
02-05-2018_10-33-38 2803616 45940 296884 
02-05-2018_10-33-38 2803616 45640 296884 
02-05-2018_10-33-39 2803616 45940 296884 
02-05-2018_10-33-40 2803616 45816 297164 
02-05-2018_10-33-40 2803616 45320 297172 
02-05-2018_10-33-41 2803616 44732 297204 
02-05-2018_10-33-41 2803616 44608 297204 
02-05-2018_10-33-42 2803616 44484 297204 
02-05-2018_10-33-43 2803616 43988 297204 
02-05-2018_10-33-43 2803616 43740 297204 
02-05-2018_10-33-44 2803616 43616 297204 
02-05-2018_10-33-45 2803616 43244 297208 
02-05-2018_10-33-45 2803616 42872 297208 
02-05-2018_10-33-46 2803616 42872 297208 
02-05-2018_10-33-47 2803616 42996 297208 
02-05-2018_10-33-47 2803616 42252 297208 
02-05-2018_10-33-48 2803616 42312 297212 
02-05-2018_10-33-48 2803616 41604 297212 
02-05-2018_10-33-49 2803616 41916 297212 
02-05-2018_10-33-50 2803616 41564 297212 
02-05-2018_10-33-50 2803616 41284 297212 
02-05-2018_10-33-51 2803616 41500 297244 
02-05-2018_10-33-52 2803616 41552 297244 
02-05-2018_10-33-52 2803616 40792 297248 
02-05-2018_10-33-53 2803616 40420 297248 
02-05-2018_10-33-54 2803616 40172 297248 
02-05-2018_10-33-54 2803616 40228 297248 
02-05-2018_10-33-55 2803616 39272 297256 
02-05-2018_10-33-56 2803616 39024 297256 
02-05-2018_10-33-56 2803616 48092 297608 
02-05-2018_10-33-57 2803616 47872 297608 
02-05-2018_10-33-57 2803616 47084 297608 
02-05-2018_10-33-58 2803616 46580 297612 
02-05-2018_10-33-59 2803616 46580 297612 
02-05-2018_10-33-59 2803616 46564 297612 
02-05-2018_10-34-00 2803616 45960 297612 
02-05-2018_10-34-01 2803616 46692 297640 
