##DateTime MemTotal: MemFree: MemAvailable: Cached:  ION_total 
04-05-2018_15-48-35 2803616 41432 481728 451196 530204 
04-05-2018_15-48-35 2803616 61824 502244 451264 530204 
04-05-2018_15-48-36 2803616 62976 503552 451388 502292 
04-05-2018_15-48-37 2803616 63052 503692 451452 502292 
04-05-2018_15-48-37 2803616 61616 502644 451840 502292 
04-05-2018_15-48-38 2803616 85564 526936 452492 502292 
04-05-2018_15-48-39 2803616 88292 530324 452868 502292 
04-05-2018_15-48-40 2803616 87676 529708 452868 502292 
04-05-2018_15-48-40 2803616 88384 530416 452868 502292 
04-05-2018_15-48-41 2803616 89060 531100 452868 502292 
04-05-2018_15-48-42 2803616 89520 531560 452868 502292 
04-05-2018_15-48-42 2803616 90372 532412 452868 502292 
04-05-2018_15-48-43 2803616 89576 531648 452900 502292 
04-05-2018_15-48-44 2803616 89728 531800 452900 502292 
04-05-2018_15-48-44 2803616 89228 531300 452932 502292 
04-05-2018_15-48-45 2803616 89464 531568 452932 502292 
04-05-2018_15-48-46 2803616 89304 531408 452932 502292 
04-05-2018_15-48-46 2803616 87112 531440 455204 502292 
04-05-2018_15-48-47 2803616 87612 534236 457408 502292 
04-05-2018_15-48-48 2803616 85956 532588 457408 502292 
04-05-2018_15-48-49 2803616 86188 532820 457408 502292 
04-05-2018_15-48-49 2803616 86048 532752 457472 502292 
04-05-2018_15-48-50 2803616 86220 532924 457472 502292 
04-05-2018_15-48-51 2803616 86080 532784 457472 502292 
04-05-2018_15-48-51 2803616 87152 533856 457472 502292 
04-05-2018_15-48-52 2803616 87208 533912 457472 502292 
04-05-2018_15-48-53 2803616 87148 533880 457500 502292 
04-05-2018_15-48-53 2803616 87572 534312 457500 502292 
04-05-2018_15-48-54 2803616 87448 534188 457500 502292 
04-05-2018_15-48-55 2803616 87388 534128 457500 502292 
04-05-2018_15-48-55 2803616 87272 534228 457652 502292 
04-05-2018_15-48-56 2803616 87264 534288 457716 502292 
04-05-2018_15-48-57 2803616 87248 534424 457868 502292 
04-05-2018_15-48-57 2803616 86492 533792 457992 502292 
04-05-2018_15-48-58 2803616 75124 530804 466256 502292 
04-05-2018_15-48-59 2803616 71816 527496 466256 502292 
04-05-2018_15-49-00 2803616 72460 528204 466272 502292 
